Batch|Factor 1|2|3|4|5|6|7|8|9|10|11|12
Batch|1.0|2.0|3.0|4.0|5.0|6.0|7.0|8.0|9.0|10.0|11.0|12.0
422111||60.0|||||15.0|||||
422112||20.0||||||20.0||||
422113||50.0||||||||||
422114||||25.0||15.0||||||
422115||||||||||24.0||
422116||||||||||||
422117||10.0||||5.0||||||
422118||||||14.0|16.0||||10.0|20.0
422119||||25.0||||||||
422120||||20.0|15.0||||17.0|||
422121|||||||15.0|||||
422122|||||||25.0|||||
422123||||43.0|||30.0|||||
422124|||||20.0|20.0||||||
422125|||||||||||10.0|10.0
422126||||||||44.0||||
422127||||||23.0||||||
422128|||||22.0||30.0|||||
422129||||||||||||15.0
422130||20.0||||||||||
422131||||20.0||||||10.0||
422132||||||||||||
422133|||||||20.0|||||
422134|||||||30.0|20.0||||
422135||||30.0||||||||15.0
422136||||||||||||
422137||||||||30.0||15.0||
422138|||20.0|||||||||
422139||||20.0||15.0||||||
422140||||||50.0|||||13.0|
422141||||||||||||7.0
422142||||||30.0||||||
422143||||||40.0|18.0|||||
422144||||||30.0||24.0||||
422145|||22.0|||||||||
422146||||||30.0|25.0|||||7.0
422147||||17.0||60.0|30.0|||||
422148||||25.0||||7.0||||
